Timestamp,Fractional Year,CO2 (ppm),Standard Deviation (ppm)
1974-01-02T00:00:00Z,1974.0027397260276,,-99.99
1974-01-03T00:00:00Z,1974.0054794520547,,-99.99
1974-01-04T00:00:00Z,1974.0082191780823,,-99.99
1974-01-05T00:00:00Z,1974.0109589041097,,-99.99
1974-01-06T00:00:00Z,1974.013698630137,,-99.99
1974-01-07T00:00:00Z,1974.0164383561644,,-99.99
1974-01-08T00:00:00Z,1974.019178082192,,-99.99
1974-01-09T00:00:00Z,1974.021917808219,,-99.99
1974-01-10T00:00:00Z,1974.024657534247,,-99.99
1974-01-11T00:00:00Z,1974.027397260274,,-99.99
1974-01-12T00:00:00Z,1974.0301369863012,,-99.99
1974-01-13T00:00:00Z,1974.0328767123287,,-99.99
1974-01-14T00:00:00Z,1974.035616438356,,-99.99
1974-01-15T00:00:00Z,1974.0383561643837,,-99.99
1974-01-16T00:00:00Z,1974.041095890411,,-99.99
1974-01-17T00:00:00Z,1974.0438356164384,,-99.99
1974-01-18T00:00:00Z,1974.0465753424655,,-99.99
1974-01-19T00:00:00Z,1974.049315068493,,-99.99
1974-01-20T00:00:00Z,1974.0520547945205,,-99.99
1974-01-21T00:00:00Z,1974.054794520548,,-99.99
1974-01-22T00:00:00Z,1974.0575342465756,,-99.99
1974-01-23T00:00:00Z,1974.0602739726028,,-99.99
1974-01-24T00:00:00Z,1974.06301369863,,-99.99
1974-01-25T00:00:00Z,1974.0657534246573,,-99.99
1974-01-26T00:00:00Z,1974.0684931506848,,-99.99
1974-01-27T00:00:00Z,1974.0712328767124,,-99.99
1974-01-28T00:00:00Z,1974.07397260274,,-99.99
1974-01-29T00:00:00Z,1974.0767123287671,,-99.99
1974-01-30T00:00:00Z,1974.0794520547945,,-99.99
1974-01-31T00:00:00Z,1974.0821917808216,,-99.99
1974-02-01T00:00:00Z,1974.0849315068488,,-99.99
1974-02-02T00:00:00Z,1974.0876712328768,,-99.99
1974-02-03T00:00:00Z,1974.090410958904,,-99.99
1974-02-04T00:00:00Z,1974.0931506849315,,-99.99
